Table|Column|ReferencedTable|RelatedColumn|UpdateRule|DeleteRule
1|0|0|0|0|0
2|1|1|1|0|0
4|1|1|1|0|0
4|3|3|3|0|0
5|2|2|2|0|0
5|3|3|3|0|0
6|3|3|3|0|0
