Column|Name
0|UserId
1|UserName
2|DisplayName
3|RootId
4|Token
5|ItemId
6|Title
7|DateCreated
8|DateModified
9|MediaType
10|Size
11|Trashed
12|Loaded
13|ChildId
14|CanAddChild
15|CanRename
16|IsReadOnly
17|IsVersionable
18|TimeStamp
