Column|Name
0|UserId
1|UserName
2|DisplayName
3|RootId
4|Token
5|SyncMode
6|DateCreated
7|DateModified
8|ItemId
9|Name
10|MediaType
11|Size
12|Link
13|Trashed
14|ConnectionMode
15|ParentId
16|CanAddChild
17|CanRename
18|IsReadOnly
19|IsVersionable
20|TimeStamp
21|RowStart
22|RowEnd
